页签,序号,项目名称,分类,上游地址,entity_type,reason,source,expanded_from_org,stars,description,language,llm_note
鲲鹏,28,musl,ARM应用支持,https://git.musl-libc.org/cgit/musl,repo,脚本分类: git.musl-libc.org/cgit/musl,repo,,,,,
鲲鹏,29,OpenH264,ARM应用支持,https://github.com/cisco/openh264,repo,脚本分类: github.com/cisco/openh264,repo,,,,,
鲲鹏,30,Opus,ARM应用支持,https://github.com/xiph/opus,repo,脚本分类: github.com/xiph/opus,repo,,,,,
鲲鹏,31,cJSON,ARM应用支持,https://github.com/davegamble/cjson,repo,脚本分类: github.com/davegamble/cjson,repo,,,,,
鲲鹏,32,libyuv-android,ARM应用支持,https://github.com/crow-misia/libyuv-android,repo,脚本分类: github.com/crow-misia/libyuv-android,repo,,,,,
鲲鹏,33,benchmark,ARM应用支持,https://github.com/google/benchmark,repo,脚本分类: github.com/google/benchmark,repo,,,,,
鲲鹏,35,Ffmpeg,ARM应用支持,https://github.com/ffmpeg/ffmpeg,repo,脚本分类: github.com/ffmpeg/ffmpeg,repo,,,,,
鲲鹏,36,libjpeg-turbo,ARM应用支持,https://github.com/libjpeg-turbo/libjpeg-turbo,repo,脚本分类: github.com/libjpeg-turbo/libjpeg-turbo,repo,,,,,
鲲鹏,37,Hadoop,大数据,https://github.com/apache/hadoop,repo,脚本分类: github.com/apache/hadoop,repo,,,,,
鲲鹏,38,Spark,大数据,https://github.com/apache/spark,repo,脚本分类: github.com/apache/spark,repo,,,,,
鲲鹏,39,Hive,大数据,https://github.com/apache/hive,repo,脚本分类: github.com/apache/hive,repo,,,,,
鲲鹏,40,HBase,大数据,https://github.com/apache/hbase,repo,脚本分类: github.com/apache/hbase,repo,,,,,
鲲鹏,42,Flink,大数据,https://github.com/apache/flink,repo,脚本分类: github.com/apache/flink,repo,,,,,
鲲鹏,43,Kafka,大数据,https://github.com/apache/kafka,repo,脚本分类: github.com/apache/kafka,repo,,,,,
鲲鹏,44,Storm,大数据,https://github.com/apache/storm,repo,脚本分类: github.com/apache/storm,repo,,,,,
鲲鹏,45,Redis,大数据,https://github.com/redis/redis,repo,脚本分类: github.com/redis/redis,repo,,,,,
鲲鹏,46,Impala,大数据,https://github.com/apache/impala,repo,脚本分类: github.com/apache/impala,repo,,,,,
鲲鹏,47,Zookeeper,大数据,https://github.com/apache/zookeeper,repo,脚本分类: github.com/apache/zookeeper,repo,,,,,
鲲鹏,48,ClickHouse,大数据,https://github.com/clickhouse/clickhouse,repo,脚本分类: github.com/clickhouse/clickhouse,repo,,,,,
鲲鹏,49,Alluxio,大数据,https://github.com/alluxio/alluxio,repo,脚本分类: github.com/alluxio/alluxio,repo,,,,,
鲲鹏,50,Ranger,大数据,https://github.com/ranger/ranger,repo,脚本分类: github.com/ranger/ranger,repo,,,,,
鲲鹏,51,Tez,大数据,https://github.com/apache/tez,repo,脚本分类: github.com/apache/tez,repo,,,,,
鲲鹏,52,Flume,大数据,https://github.com/apache/flume,repo,脚本分类: github.com/apache/flume,repo,,,,,
鲲鹏,53,Oozie,大数据,https://github.com/apache/oozie,repo,脚本分类: github.com/apache/oozie,repo,,,,,
鲲鹏,54,Solr,大数据,https://github.com/apache/solr,repo,脚本分类: github.com/apache/solr,repo,,,,,
鲲鹏,55,Presto,大数据,https://github.com/prestodb/presto,repo,脚本分类: github.com/prestodb/presto,repo,,,,,
鲲鹏,56,Kylin,大数据,https://github.com/apache/kylin,repo,脚本分类: github.com/apache/kylin,repo,,,,,
鲲鹏,57,Accumulo,大数据,https://github.com/apache/accumulo,repo,脚本分类: github.com/apache/accumulo,repo,,,,,
鲲鹏,58,Avro,大数据,https://github.com/apache/avro,repo,脚本分类: github.com/apache/avro,repo,,,,,
鲲鹏,59,logstash,大数据,https://github.com/elastic/logstash,repo,脚本分类: github.com/elastic/logstash,repo,,,,,
鲲鹏,60,Kibana,大数据,https://github.com/elastic/kibana,repo,脚本分类: github.com/elastic/kibana,repo,,,,,
鲲鹏,61,Knox,大数据,https://github.com/automattic/knox,repo,脚本分类: github.com/automattic/knox,repo,,,,,
鲲鹏,62,Pig,大数据,https://github.com/apache/pig,repo,脚本分类: github.com/apache/pig,repo,,,,,
鲲鹏,63,Atlas,大数据,https://github.com/apache/atlas,repo,脚本分类: github.com/apache/atlas,repo,,,,,
鲲鹏,64,Livy,大数据,https://github.com/apache/incubator-livy,repo,脚本分类: github.com/apache/incubator-livy,repo,,,,,
鲲鹏,65,Parquet,大数据,https://github.com/apache/parquet-java/,repo,脚本分类: github.com/apache/parquet-java,repo,,,,,
鲲鹏,66,Mesos,大数据,https://github.com/apache/mesos,repo,脚本分类: github.com/apache/mesos,repo,,,,,
鲲鹏,67,Thrift,大数据,https://github.com/apache/thrift,repo,脚本分类: github.com/apache/thrift,repo,,,,,
鲲鹏,68,Drill,大数据,https://github.com/apache/drill,repo,脚本分类: github.com/apache/drill,repo,,,,,
鲲鹏,69,Druid,大数据,https://github.com/apache/druid,repo,脚本分类: github.com/apache/druid,repo,,,,,
鲲鹏,70,Phoenix,大数据,https://github.com/apache/phoenix,repo,脚本分类: github.com/apache/phoenix,repo,,,,,
鲲鹏,71,Lucene,大数据,https://github.com/apache/lucene,repo,脚本分类: github.com/apache/lucene,repo,,,,,
鲲鹏,72,TDengine,大数据,https://github.com/taosdata/tdengine,repo,脚本分类: github.com/taosdata/tdengine,repo,,,,,
鲲鹏,73,Arrow,大数据,https://github.com/apache/arrow,repo,脚本分类: github.com/apache/arrow,repo,,,,,
鲲鹏,74,Kudu,大数据,https://github.com/apache/kudu,repo,脚本分类: github.com/apache/kudu,repo,,,,,
鲲鹏,75,Kyuubi,大数据,https://github.com/yaooqinn/kyuubi,repo,脚本分类: github.com/yaooqinn/kyuubi,repo,,,,,
鲲鹏,76,Ceph,分布式存储,https://github.com/ceph/ceph,repo,脚本分类: github.com/ceph/ceph,repo,,,,,
鲲鹏,77,GlusterFS,分布式存储,https://github.com/gluster/glusterfs,repo,脚本分类: github.com/gluster/glusterfs,repo,,,,,
鲲鹏,79,FastDFS,分布式存储,https://github.com/greduan/emacs-theme-gruvbox,repo,脚本分类: github.com/greduan/emacs-theme-gruvbox,repo,,,,,
鲲鹏,80,MinIO,分布式存储,https://github.com/minio/minio,repo,脚本分类: github.com/minio/minio,repo,,,,,
鲲鹏,81,MooseFS,分布式存储,https://github.com/moosefs/moosefs,repo,脚本分类: github.com/moosefs/moosefs,repo,,,,,
鲲鹏,82,LizardFS,分布式存储,https://github.com/lizardfs/lizardfs,repo,脚本分类: github.com/lizardfs/lizardfs,repo,,,,,
鲲鹏,83,Sheepdog,分布式存储,https://github.com/sheepdog/sheepdog,repo,脚本分类: github.com/sheepdog/sheepdog,repo,,,,,
鲲鹏,84,DRBD,分布式存储,https://github.com/linbit/drbd,repo,脚本分类: github.com/linbit/drbd,repo,,,,,
鲲鹏,85,DAOS,分布式存储,https://github.com/daos-stack/daos,repo,脚本分类: github.com/daos-stack/daos,repo,,,,,
鲲鹏,86,CURVE,分布式存储,https://github.com/opencurve/curve,repo,脚本分类: github.com/opencurve/curve,repo,,,,,
鲲鹏,87,SeaweedFS,分布式存储,https://github.com/chrislusf/seaweedfs,repo,脚本分类: github.com/chrislusf/seaweedfs,repo,,,,,
鲲鹏,88,Docker,虚拟化,https://github.com/nextcloud/docker,repo,脚本分类: github.com/nextcloud/docker,repo,,,,,
鲲鹏,89,Kubernetes,虚拟化,https://github.com/kubernetes/kubernetes,repo,脚本分类: github.com/kubernetes/kubernetes,repo,,,,,
鲲鹏,90,libvirt,虚拟化,https://github.com/libvirt/libvirt,repo,脚本分类: github.com/libvirt/libvirt,repo,,,,,
鲲鹏,91,OpenStack,虚拟化,https://github.com/openstack/openstack,repo,脚本分类: github.com/openstack/openstack,repo,,,,,
鲲鹏,92,KVM,虚拟化,https://git.kernel.org/pub/scm/virt/kvm/kvm.git,repo,脚本分类: git.kernel.org/pub/scm,repo,,,,,
鲲鹏,93,Open vSwitch,虚拟化,https://github.com/openvswitch/ovs,repo,脚本分类: github.com/openvswitch/ovs,repo,,,,,
鲲鹏,94,QEMU,虚拟化,https://github.com/qemu/qemu,repo,脚本分类: github.com/qemu/qemu,repo,,,,,
鲲鹏,95,Ovirt,虚拟化,https://github.com/ovirt/ovirt-engine,repo,脚本分类: github.com/ovirt/ovirt-engine,repo,,,,,
鲲鹏,96,Stratovirt,虚拟化,https://gitee.com/openeuler/stratovirt,repo,脚本分类: gitee.com/openeuler/stratovirt,repo,,,,,
鲲鹏,97,Calico,虚拟化,https://github.com/projectcalico/calico,repo,脚本分类: github.com/projectcalico/calico,repo,,,,,
鲲鹏,98,Flannel,虚拟化,https://github.com/coreos/flannel,repo,脚本分类: github.com/coreos/flannel,repo,,,,,
鲲鹏,99,CoreDNS,虚拟化,https://github.com/coredns/coredns,repo,脚本分类: github.com/coredns/coredns,repo,,,,,
鲲鹏,100,Containerd,虚拟化,https://github.com/containerd/containerd,repo,脚本分类: github.com/containerd/containerd,repo,,,,,
鲲鹏,101,Prometheus,虚拟化,https://github.com/prometheus/prometheus,repo,脚本分类: github.com/prometheus/prometheus,repo,,,,,
鲲鹏,102,lstio,虚拟化,https://github.com/istio/istio,repo,脚本分类: github.com/istio/istio,repo,,,,,
鲲鹏,103,Envoy,虚拟化,https://github.com/envoyproxy/envoy,repo,脚本分类: github.com/envoyproxy/envoy,repo,,,,,
鲲鹏,104,iSula,虚拟化,https://gitee.com/openeuler/iSulad,repo,脚本分类: gitee.com/openeuler/iSulad,repo,,,,,
鲲鹏,105,harbor,虚拟化,https://github.com/goharbor/harbor,repo,脚本分类: github.com/goharbor/harbor,repo,,,,,
鲲鹏,106,Apache HTTP Server,Web,https://github.com/apache/httpd,repo,脚本分类: github.com/apache/httpd,repo,,,,,
鲲鹏,107,Tomcat,Web,https://github.com/apache/tomcat,repo,脚本分类: github.com/apache/tomcat,repo,,,,,
鲲鹏,108,Varnish,Web,https://github.com/varnishcache/varnish-cache,repo,脚本分类: github.com/varnishcache/varnish-cache,repo,,,,,
鲲鹏,109,JBOSS,Web,https://github.com/wildfly/wildfly,repo,脚本分类: github.com/wildfly/wildfly,repo,,,,,
鲲鹏,110,HAProxy,Web,https://github.com/haproxy/haproxy,repo,脚本分类: github.com/haproxy/haproxy,repo,,,,,
鲲鹏,111,Memcached,Web,https://github.com/memcached/memcached,repo,脚本分类: github.com/memcached/memcached,repo,,,,,
鲲鹏,112,Nginx,Web,https://github.com/nginx/nginx,repo,脚本分类: github.com/nginx/nginx,repo,,,,,
鲲鹏,113,.NET Core,Web,https://github.com/dotnet/core,repo,脚本分类: github.com/dotnet/core,repo,,,,,
鲲鹏,114,ATS,Web,https://github.com/apache/trafficserver,repo,脚本分类: github.com/apache/trafficserver,repo,,,,,
鲲鹏,115,Jetty,Web,https://github.com/eclipse/jetty.project,repo,脚本分类: github.com/eclipse/jetty.project,repo,,,,,
鲲鹏,116,Keepalived,Web,https://github.com/acassen/keepalived,repo,脚本分类: github.com/acassen/keepalived,repo,,,,,
鲲鹏,118,Dubbo,Web,https://github.com/apache/dubbo,repo,脚本分类: github.com/apache/dubbo,repo,,,,,
鲲鹏,119,Squid,Web,https://github.com/squid-cache/squid,repo,脚本分类: github.com/squid-cache/squid,repo,,,,,
鲲鹏,120,Glassfish,Web,https://github.com/eclipse-ee4j/glassfish,repo,脚本分类: github.com/eclipse-ee4j/glassfish,repo,,,,,
鲲鹏,121,Node.js,Web,https://github.com/nodejs/node,repo,脚本分类: github.com/nodejs/node,repo,,,,,
鲲鹏,122,chromium,Web,https://github.com/chromium/chromium,repo,脚本分类: github.com/chromium/chromium,repo,,,,,
鲲鹏,123,Django,Web,https://github.com/django/django,repo,脚本分类: github.com/django/django,repo,,,,,
鲲鹏,124,fcgi,Web,https://github.com/fastcgi-archives/fcgi2,repo,脚本分类: github.com/fastcgi-archives/fcgi2,repo,,,,,
鲲鹏,125,Mongoose,Web,https://github.com/automattic/mongoose,repo,脚本分类: github.com/automattic/mongoose,repo,,,,,
鲲鹏,126,Nagios,Web,https://github.com/nagiosenterprises/nagioscore,repo,脚本分类: github.com/nagiosenterprises/nagioscore,repo,,,,,
鲲鹏,127,uWSGI,Web,https://github.com/unbit/uwsgi,repo,脚本分类: github.com/unbit/uwsgi,repo,,,,,
鲲鹏,128,Spring Framework,Web,https://github.com/spring-projects/spring-framework,repo,脚本分类: github.com/spring-projects/spring-framework,repo,,,,,
鲲鹏,129,Spring Boot,Web,https://github.com/spring-projects/spring-boot,repo,脚本分类: github.com/spring-projects/spring-boot,repo,,,,,
鲲鹏,130,Tengine,Web,https://github.com/alibaba/tengine,repo,脚本分类: github.com/alibaba/tengine,repo,,,,,
鲲鹏,132,MySQL,数据库,https://github.com/mysql/mysql-server,repo,脚本分类: github.com/mysql/mysql-server,repo,,,,,
鲲鹏,133,MariaDB,数据库,https://github.com/mariadb/server,repo,脚本分类: github.com/mariadb/server,repo,,,,,
