页签,序号,项目名称,分类,上游地址,status,url_type,actual_url,stars,forks,watchers,open_issues_count,total_pull_requests,language,license,created_at,updated_at,pushed_at,size_kb,default_branch,topics,fork,archived,mirror_url,has_issues,note
昇腾,46,AP2,应用加速,https://github.com/google-agentic-commerce/AP2,valid,repo,,2914,418,66,87,139,Python,Apache-2.0,2025-05-30T19:37:20Z,2026-04-10T06:04:59Z,2026-04-08T20:13:26Z,4046,main,,False,False,,True,
昇腾,47,MCP,应用加速,https://github.com/modelcontextprotocol/modelcontextprotocol,valid,repo,,7765,1431,161,218,1219,TypeScript,NOASSERTION,2024-09-24T20:26:52Z,2026-04-10T07:04:47Z,2026-04-09T16:29:08Z,45371,main,,False,False,,True,
昇腾,48,A2A,应用加速,https://github.com/a2aproject/A2A,valid,repo,,23110,2342,228,222,793,Shell,Apache-2.0,2025-03-25T18:44:21Z,2026-04-10T07:26:12Z,2026-04-09T17:23:57Z,28237,main,"a2a,a2a-mcp,a2a-protocol,a2a-server,agents,generative-ai,linux-foundation",False,False,,True,
昇腾,49,A2UI,应用加速,https://github.com/google/A2UI,valid,repo,,13894,1063,95,251,787,TypeScript,Apache-2.0,2025-09-24T23:14:02Z,2026-04-10T07:41:29Z,2026-04-10T07:36:39Z,136044,main,,False,False,,True,
昇腾,50,ANP,应用加速,https://github.com/agent-network-protocol/AgentNetworkProtocol,valid,repo,,1262,86,29,21,40,HTML,Apache-2.0,2024-10-23T01:15:51Z,2026-04-10T04:28:13Z,2026-04-10T04:28:08Z,39781,main,"agent,communication,protocol",False,False,,True,
昇腾,51,Magatron,训练加速,https://github.com/NVIDIA/Megatron-LM,valid,repo,,15985,3804,172,714,2654,Python,NOASSERTION,2019-03-21T16:15:52Z,2026-04-10T07:35:11Z,2026-04-10T07:43:38Z,72467,main,"large-language-models,model-para,transformers",False,False,,True,
昇腾,52,torchtitan,训练加速,https://github.com/pytorch/torchtitan,valid,repo,,5220,779,58,481,2255,Python,BSD-3-Clause,2023-12-13T01:51:37Z,2026-04-10T02:40:30Z,2026-04-10T07:43:44Z,108878,main,,False,False,,True,
昇腾,53,VeOmni,训练加速,https://github.com/ByteDance-Seed/VeOmni,valid,repo,,1810,176,14,82,473,Python,Apache-2.0,2025-03-28T03:42:42Z,2026-04-10T05:54:00Z,2026-04-09T23:32:07Z,11309,main,,False,False,,True,
昇腾,54,torchtune,训练加速,https://github.com/meta-pytorch/torchtune,valid,repo,,5726,715,41,439,1825,Python,BSD-3-Clause,2023-10-20T21:10:49Z,2026-04-10T07:34:11Z,2026-04-09T11:50:59Z,65445,main,,False,False,,True,
昇腾,55,xtuner,训练加速,https://github.com/InternLM/xtuner,valid,repo,,5119,414,36,325,1040,Python,Apache-2.0,2023-07-11T03:18:13Z,2026-04-10T03:29:46Z,2026-04-10T06:07:36Z,79940,main,"agent,deepseek-v3,gpt-oss,intern-s1,internvl,kimi-k2,llm,multimodal,qwen3-moe,qwen3-vl,reinforcement-learning",False,False,,True,
