页签,序号,项目名称,分类,上游地址,仓库是否删除,entity_type
昇腾,55,xtuner,训练加速,https://github.com/InternLM/xtuner,,repo
昇腾,56,ms-swift,训练加速,https://github.com/modelscope/ms-swift,,repo
昇腾,57,Areal,训练加速,https://github.com/inclusionAI/AReaL,,repo
昇腾,58,Slime,训练加速,https://github.com/THUDM/slime,,repo
昇腾,59,ROLL,训练加速,https://github.com/alibaba/ROLL,,repo
昇腾,60,speculators,训练加速,https://github.com/vllm-project/speculators,,repo
昇腾,61,SpecForge,训练加速,https://github.com/sgl-project/SpecForge,,repo
昇腾,62,tensordict,训练加速,https://github.com/pytorch/tensordict,,repo
昇腾,63,torchvision,训练加速,https://github.com/pytorch/vision,,repo
昇腾,64,Liger-Kernel,训练加速,https://github.com/linkedin/Liger-Kernel,,repo
昇腾,65,flash-linear-attention,训练加速,https://github.com/fla-org/flash-linear-attention,,repo
昇腾,66,dgl,训练加速,https://github.com/dmlc/dgl,,repo
昇腾,67,pyg,训练加速,https://github.com/pyg-team/pytorch_geometric,,repo
昇腾,68,megablocks,训练加速,https://github.com/databricks/megablocks,,repo
昇腾,69,inclusionAI,推理加速,https://github.com/inclusionAI,,organization
昇腾,70,Mooncake,推理加速,https://github.com/kvcache-ai/Mooncake,,repo
昇腾,71,cache-dit,推理加速,https://github.com/vipshop/cache-dit,,repo
昇腾,72,LMCache,推理加速,https://github.com/LMCache/LMCache,,repo
昇腾,73,rtp-llm,推理加速,https://github.com/alibaba/rtp-llm,,repo
昇腾,74,xllm,推理加速,https://github.com/jd-opensource/xllm,,repo
昇腾,75,router,推理加速,https://github.com/vllm-project/router,,repo
昇腾,76,Ktransformers,推理加速,https://github.com/kvcache-ai/ktransformers,,repo
昇腾,77,AIGW,推理加速,https://github.com/aigw-project/aigw,,repo
昇腾,78,llm-d,推理加速,https://github.com/llm-d/llm-d,,repo
昇腾,79,AIBrix,推理加速,https://github.com/vllm-project/aibrix,,repo
昇腾,80,GPUStack,推理加速,https://github.com/gpustack/gpustack,,repo
昇腾,81,DiffSynth-Studio,推理加速,https://github.com/modelscope/DiffSynth-Studio,,repo
昇腾,82,FlagScale,推理加速,https://github.com/flagos-ai/FlagScale,,repo
昇腾,83,ColossalAI,推理加速,https://github.com/hpcaitech/ColossalAI,,repo
昇腾,84,Vbench,推理加速,https://github.com/Vchitect/VBench,,repo
昇腾,85,llm-compressor,推理加速,https://github.com/vllm-project/llm-compressor,,repo
昇腾,86,LightX2V,推理加速,https://github.com/ModelTC/LightX2V,,repo
昇腾,87,xDiT,推理加速,https://github.com/xdit-project/xDiT,,repo
昇腾,88,deepseek-ai,推理加速,https://github.com/deepseek-ai,,organization
昇腾,89,QwenLM,推理加速,https://github.com/QwenLM,,organization
昇腾,90,THUDM,推理加速,https://github.com/THUDM,,organization
昇腾,91,TileLang,算子库和编程,https://github.com/tile-ai/tilelang,,repo
鲲鹏,1,Glibc,基础库&加速库,https://sourceware.org/git/glibc.git,,repo
鲲鹏,2,Hyperscan,基础库&加速库,https://github.com/est31/cargo-udeps,,repo
鲲鹏,3,openMPI,基础库&加速库,https://github.com/open-mpi/ompi,,unknown
鲲鹏,4,Zlib,基础库&加速库,https://github.com/madler/zlib,,repo
鲲鹏,5,LZ4,基础库&加速库,https://github.com/lz4/lz4,,repo
鲲鹏,6,zlib-ng,基础库&加速库,https://github.com/zlib-ng/zlib-ng,,repo
鲲鹏,7,edk2,基础库&加速库,https://github.com/tianocore/edk2,,repo
鲲鹏,8,Suricata,基础库&加速库,https://github.com/OISF/suricata,,repo
鲲鹏,9,Snort,基础库&加速库,https://github.com/snort3/snort3,,repo
鲲鹏,10,nDPI,基础库&加速库,https://github.com/ntop/nDPI,,repo
鲲鹏,11,Gzip,基础库&加速库,https://github.com/Distrotech/gzip,,repo
鲲鹏,12,Zstd,基础库&加速库,https://github.com/facebook/zstd,,repo
鲲鹏,13,Snappy,基础库&加速库,https://github.com/google/snappy,,repo
鲲鹏,14,X265,基础库&加速库,https://bitbucket.org/multicoreware/x265,,repo
鲲鹏,15,DPDK,基础库&加速库,https://github.com/DPDK/dpdk,,repo
鲲鹏,16,X264,基础库&加速库,https://code.videolan.org/videolan/x264,,repo
鲲鹏,17,SPDK,基础库&加速库,https://github.com/spdk/spdk,,repo
鲲鹏,18,Bcache,基础库&加速库,https://github.com/g2p/bcache-tools,,repo
鲲鹏,19,OpenBLAS,基础库&加速库,https://github.com/OpenMathLib/OpenBLAS,,repo
鲲鹏,20,lapack,基础库&加速库,https://github.com/Reference-LAPACK/lapack,,repo
鲲鹏,21,Numpy,基础库&加速库,https://github.com/numpy/numpy,,repo
鲲鹏,22,ISA-L,基础库&加速库,https://github.com/intel/isa-l,,repo
鲲鹏,23,EMU,ARM应用支持,https://github.com/treangenlab/emu,,repo
鲲鹏,24,Mesa,ARM应用支持,https://gitlab.freedesktop.org/mesa/mesa,,repo
鲲鹏,25,Binder,ARM应用支持,https://github.com/kupferlauncher/keybinder,,repo
鲲鹏,26,LLVM,ARM应用支持,https://github.com/llvm/llvm-project,,repo
鲲鹏,27,libdrm,ARM应用支持,https://gitlab.freedesktop.org/mesa/drm,,repo
鲲鹏,28,musl,ARM应用支持,https://git.musl-libc.org/cgit/musl,,repo
鲲鹏,29,OpenH264,ARM应用支持,https://github.com/cisco/openh264,,repo
鲲鹏,30,Opus,ARM应用支持,https://github.com/xiph/opus,,repo
鲲鹏,31,cJSON,ARM应用支持,https://github.com/DaveGamble/cJSON,,repo
鲲鹏,32,libyuv-android,ARM应用支持,https://github.com/crow-misia/libyuv-android,,repo
鲲鹏,33,benchmark,ARM应用支持,https://github.com/google/benchmark,,repo
鲲鹏,34,OpenCV,ARM应用支持,https://github.com/opencv/opencv,,repo
鲲鹏,35,Ffmpeg,ARM应用支持,https://git.ffmpeg.org/ffmpeg.git,,repo
鲲鹏,36,libjpeg-turbo,ARM应用支持,https://github.com/libjpeg-turbo/libjpeg-turbo,,repo
鲲鹏,37,Hadoop,大数据,https://github.com/apache/hadoop,,repo
鲲鹏,38,Spark,大数据,https://github.com/apache/spark,,repo
鲲鹏,39,Hive,大数据,https://github.com/apache/hive,,repo
鲲鹏,40,HBase,大数据,https://github.com/apache/hbase,,repo
鲲鹏,41,ElasticSearch,大数据,https://github.com/elastic/elasticsearch,,repo
鲲鹏,42,Flink,大数据,https://github.com/apache/flink,,repo
鲲鹏,43,Kafka,大数据,https://github.com/apache/kafka,,repo
鲲鹏,44,Storm,大数据,https://github.com/apache/storm,,repo
鲲鹏,45,Redis,大数据,https://github.com/redis/redis,,repo
鲲鹏,46,Impala,大数据,https://github.com/apache/impala,,repo
鲲鹏,47,Zookeeper,大数据,https://github.com/apache/zookeeper,,repo
鲲鹏,48,ClickHouse,大数据,https://github.com/ClickHouse/ClickHouse,,repo
鲲鹏,49,Alluxio,大数据,https://github.com/Alluxio/alluxio,,repo
鲲鹏,50,Ranger,大数据,https://github.com/ranger/ranger,,repo
鲲鹏,51,Tez,大数据,https://github.com/apache/tez,,repo
鲲鹏,52,Flume,大数据,https://github.com/apache/logging-flume,,repo
鲲鹏,53,Oozie,大数据,https://github.com/apache/oozie,,repo
鲲鹏,54,Solr,大数据,https://github.com/apache/solr,,repo
鲲鹏,55,Presto,大数据,https://github.com/prestodb/presto,,repo
